DATE,DAUTOSA
1967-01-01,653.1
1967-02-01,570.8
1967-03-01,601.7
1967-04-01,680.3
1967-05-01,663.4
1967-06-01,682.2
1967-07-01,661.6
1967-08-01,607.9
1967-09-01,647.0
1967-10-01,587.7
1967-11-01,563.8
1967-12-01,648.3
1968-01-01,710.5
1968-02-01,669.6
1968-03-01,728.6
1968-04-01,679.4
1968-05-01,724.5
1968-06-01,701.1
1968-07-01,749.7
1968-08-01,749.5
1968-09-01,725.2
1968-10-01,746.7
1968-11-01,719.8
1968-12-01,720.2
1969-01-01,737.5
1969-02-01,739.1
1969-03-01,696.3
1969-04-01,708.3
1969-05-01,709.2
1969-06-01,707.4
1969-07-01,672.1
1969-08-01,704.2
1969-09-01,747.9
1969-10-01,720.2
1969-11-01,671.8
1969-12-01,650.3
1970-01-01,616.2
1970-02-01,662.0
1970-03-01,620.3
1970-04-01,645.2
1970-05-01,639.0
1970-06-01,671.2
1970-07-01,643.3
1970-08-01,632.9
1970-09-01,646.9
1970-10-01,498.4
1970-11-01,412.0
1970-12-01,432.0
1971-01-01,687.9
1971-02-01,692.1
1971-03-01,729.1
1971-04-01,691.3
1971-05-01,680.3
1971-06-01,701.9
1971-07-01,656.9
1971-08-01,689.2
1971-09-01,830.3
1971-10-01,807.0
1971-11-01,767.5
1971-12-01,728.3
1972-01-01,736.5
1972-02-01,756.3
1972-03-01,746.8
1972-04-01,759.1
1972-05-01,771.8
1972-06-01,751.7
1972-07-01,761.8
1972-08-01,776.7
1972-09-01,759.8
1972-10-01,793.4
1972-11-01,812.0
1972-12-01,826.7
1973-01-01,844.7
1973-02-01,850.7
1973-03-01,909.8
1973-04-01,871.9
1973-05-01,884.5
1973-06-01,810.8
1973-07-01,801.8
1973-08-01,780.6
1973-09-01,802.4
1973-10-01,689.8
1973-11-01,688.9
1973-12-01,652.7
1974-01-01,660.8
1974-02-01,634.3
1974-03-01,647.5
1974-04-01,649.5
1974-05-01,648.2
1974-06-01,639.1
1974-07-01,631.3
1974-08-01,741.3
1974-09-01,609.5
1974-10-01,529.7
1974-11-01,466.9
1974-12-01,503.7
1975-01-01,532.2
1975-02-01,596.8
1975-03-01,499.8
1975-04-01,476.3
1975-05-01,522.4
1975-06-01,530.1
1975-07-01,606.6
1975-08-01,591.2
1975-09-01,625.3
1975-10-01,635.0
1975-11-01,657.9
1975-12-01,677.3
1976-01-01,704.4
1976-02-01,726.9
1976-03-01,734.3
1976-04-01,718.8
1976-05-01,698.8
1976-06-01,702.5
1976-07-01,712.4
1976-08-01,665.8
1976-09-01,704.3
1976-10-01,642.5
1976-11-01,689.9
1976-12-01,791.4
1977-01-01,745.4
1977-02-01,752.0
1977-03-01,782.6
1977-04-01,745.8
1977-05-01,739.2
1977-06-01,764.8
1977-07-01,738.4
1977-08-01,749.0
1977-09-01,729.1
1977-10-01,748.5
1977-11-01,727.7
1977-12-01,748.7
1978-01-01,670.3
1978-02-01,711.9
1978-03-01,746.7
1978-04-01,812.6
1978-05-01,815.7
1978-06-01,811.8
1978-07-01,757.6
1978-08-01,797.6
1978-09-01,727.1
1978-10-01,781.7
1978-11-01,761.0
1978-12-01,769.9
1979-01-01,752.2
1979-02-01,764.7
1979-03-01,732.6
1979-04-01,697.8
1979-05-01,686.3
1979-06-01,607.6
1979-07-01,694.0
1979-08-01,715.5
1979-09-01,707.1
1979-10-01,610.1
1979-11-01,610.8
1979-12-01,651.4
1980-01-01,695.4
1980-02-01,655.2
1980-03-01,594.9
1980-04-01,493.6
1980-05-01,443.7
1980-06-01,479.4
1980-07-01,537.1
1980-08-01,536.0
1980-09-01,531.0
1980-10-01,552.6
1980-11-01,538.6
1980-12-01,523.9
1981-01-01,546.9
1981-02-01,616.4
1981-03-01,637.5
1981-04-01,478.2
1981-05-01,483.0
1981-06-01,481.6
1981-07-01,488.0
1981-08-01,650.8
1981-09-01,560.5
1981-10-01,427.6
1981-11-01,428.2
1981-12-01,410.1
1982-01-01,445.7
1982-02-01,520.7
1982-03-01,489.0
1982-04-01,455.9
1982-05-01,531.9
1982-06-01,427.5
1982-07-01,432.0
1982-08-01,445.8
1982-09-01,515.2
1982-10-01,444.0
1982-11-01,539.8
1982-12-01,510.7
1983-01-01,481.7
1983-02-01,499.3
1983-03-01,507.0
1983-04-01,544.8
1983-05-01,567.8
1983-06-01,604.5
1983-07-01,600.2
1983-08-01,560.4
1983-09-01,572.8
1983-10-01,596.8
1983-11-01,589.2
1983-12-01,668.6
1984-01-01,656.6
1984-02-01,686.6
1984-03-01,662.7
1984-04-01,668.2
1984-05-01,679.5
1984-06-01,669.6
1984-07-01,683.2
1984-08-01,654.1
1984-09-01,637.1
1984-10-01,633.7
1984-11-01,647.8
1984-12-01,672.6
1985-01-01,687.0
1985-02-01,692.3
1985-03-01,698.3
1985-04-01,706.2
1985-05-01,685.6
1985-06-01,637.6
1985-07-01,627.7
1985-08-01,784.3
1985-09-01,936.6
1985-10-01,538.5
1985-11-01,564.3
1985-12-01,646.2
1986-01-01,708.2
1986-02-01,653.0
1986-03-01,577.3
1986-04-01,653.7
1986-05-01,682.7
1986-06-01,681.3
1986-07-01,634.0
1986-08-01,734.0
1986-09-01,959.9
1986-10-01,591.7
1986-11-01,582.5
1986-12-01,756.7
1987-01-01,487.2
1987-02-01,598.7
1987-03-01,616.9
1987-04-01,618.6
1987-05-01,571.1
1987-06-01,597.7
1987-07-01,606.2
1987-08-01,688.8
1987-09-01,642.2
1987-10-01,502.1
1987-11-01,534.9
1987-12-01,616.5
1988-01-01,647.7
1988-02-01,665.1
1988-03-01,648.2
1988-04-01,609.2
1988-05-01,629.0
1988-06-01,643.1
1988-07-01,621.3
1988-08-01,608.3
1988-09-01,587.6
1988-10-01,580.5
1988-11-01,605.6
1988-12-01,693.8
1989-01-01,613.1
1989-02-01,593.3
1989-03-01,577.5
1989-04-01,641.0
1989-05-01,622.2
1989-06-01,566.4
1989-07-01,587.3
1989-08-01,679.3
1989-09-01,641.1
1989-10-01,514.2
1989-11-01,506.2
1989-12-01,536.5
1990-01-01,648.8
1990-02-01,573.4
1990-03-01,573.7
1990-04-01,572.2
1990-05-01,557.7
1990-06-01,562.3
1990-07-01,564.9
1990-08-01,573.1
1990-09-01,617.3
1990-10-01,577.3
1990-11-01,530.6
1990-12-01,545.6
1991-01-01,498.4
1991-02-01,513.2
1991-03-01,526.6
1991-04-01,477.0
1991-05-01,508.7
1991-06-01,523.1
1991-07-01,538.6
1991-08-01,513.9
1991-09-01,517.0
1991-10-01,501.6
1991-11-01,519.0
1991-12-01,499.8
1992-01-01,507.9
1992-02-01,520.2
1992-03-01,513.7
1992-04-01,497.2
1992-05-01,522.9
1992-06-01,542.5
1992-07-01,531.6
1992-08-01,504.8
1992-09-01,527.1
1992-10-01,532.7
1992-11-01,523.7
1992-12-01,552.3
1993-01-01,540.8
1993-02-01,502.6
1993-03-01,527.2
1993-04-01,573.6
1993-05-01,569.8
1993-06-01,578.2
1993-07-01,570.6
1993-08-01,533.9
1993-09-01,545.1
1993-10-01,607.2
1993-11-01,601.3
1993-12-01,583.9
1994-01-01,605.3
1994-02-01,618.3
1994-03-01,609.3
1994-04-01,633.7
1994-05-01,574.9
1994-06-01,586.2
1994-07-01,569.9
1994-08-01,588.9
1994-09-01,598.8
1994-10-01,617.9
1994-11-01,628.6
1994-12-01,623.3
1995-01-01,571.0
1995-02-01,570.2
1995-03-01,595.1
1995-04-01,552.0
1995-05-01,573.1
1995-06-01,599.7
1995-07-01,575.3
1995-08-01,623.5
1995-09-01,613.8
1995-10-01,592.5
1995-11-01,612.3
1995-12-01,635.5
1996-01-01,569.5
1996-02-01,614.8
1996-03-01,639.8
1996-04-01,617.6
1996-05-01,649.0
1996-06-01,598.7
1996-07-01,591.8
1996-08-01,596.4
1996-09-01,604.4
1996-10-01,568.1
1996-11-01,582.2
1996-12-01,574.0
1997-01-01,609.9
1997-02-01,579.8
1997-03-01,586.6
1997-04-01,563.1
1997-05-01,560.6
1997-06-01,540.0
1997-07-01,583.5
1997-08-01,592.2
1997-09-01,545.5
1997-10-01,555.6
1997-11-01,554.5
1997-12-01,591.0
1998-01-01,516.8
1998-02-01,537.8
1998-03-01,547.2
1998-04-01,563.5
1998-05-01,598.8
1998-06-01,586.5
1998-07-01,491.1
1998-08-01,509.3
1998-09-01,588.7
1998-10-01,606.4
1998-11-01,543.0
1998-12-01,616.3
1999-01-01,551.0
1999-02-01,581.4
1999-03-01,569.4
1999-04-01,575.7
1999-05-01,581.6
1999-06-01,579.1
1999-07-01,585.4
1999-08-01,596.6
1999-09-01,569.8
1999-10-01,559.7
1999-11-01,575.0
1999-12-01,593.8
2000-01-01,607.1
2000-02-01,625.3
2000-03-01,583.6
2000-04-01,572.9
2000-05-01,570.4
2000-06-01,560.2
2000-07-01,548.1
2000-08-01,554.8
2000-09-01,572.9
2000-10-01,544.0
2000-11-01,525.2
2000-12-01,497.1
2001-01-01,555.5
2001-02-01,573.1
2001-03-01,523.8
2001-04-01,515.9
2001-05-01,522.7
2001-06-01,521.7
2001-07-01,486.4
2001-08-01,472.1
2001-09-01,482.7
2001-10-01,658.9
2001-11-01,510.6
2001-12-01,430.9
2002-01-01,447.4
2002-02-01,478.2
2002-03-01,484.7
2002-04-01,516.2
2002-05-01,474.6
2002-06-01,487.2
2002-07-01,523.8
2002-08-01,525.4
2002-09-01,467.4
2002-10-01,459.5
2002-11-01,466.6
2002-12-01,485.5
2003-01-01,480.5
2003-02-01,439.3
2003-03-01,452.2
2003-04-01,446.8
2003-05-01,439.8
2003-06-01,466.1
2003-07-01,459.3
2003-08-01,474.9
2003-09-01,456.9
2003-10-01,436.9
2003-11-01,467.6
2003-12-01,452.2
2004-01-01,429.4
2004-02-01,452.6
2004-03-01,462.1
2004-04-01,428.0
2004-05-01,469.8
2004-06-01,426.9
2004-07-01,449.0
2004-08-01,433.2
2004-09-01,438.5
2004-10-01,429.8
2004-11-01,438.1
2004-12-01,476.0
2005-01-01,446.4
2005-02-01,446.3
2005-03-01,464.5
2005-04-01,473.8
2005-05-01,446.4
2005-06-01,442.3
2005-07-01,481.8
2005-08-01,465.5
2005-09-01,473.1
2005-10-01,432.9
2005-11-01,458.4
2005-12-01,442.1
2006-01-01,538.4
2006-02-01,460.7
2006-03-01,443.6
2006-04-01,466.3
2006-05-01,438.7
2006-06-01,437.2
2006-07-01,463.4
2006-08-01,440.2
2006-09-01,440.0
2006-10-01,427.1
2006-11-01,418.5
2006-12-01,442.6
2007-01-01,439.5
2007-02-01,433.8
2007-03-01,422.7
2007-04-01,423.6
2007-05-01,451.6
2007-06-01,434.5
2007-07-01,413.2
2007-08-01,424.8
2007-09-01,431.3
2007-10-01,429.6
2007-11-01,459.0
2007-12-01,433.7
2008-01-01,429.6
2008-02-01,409.1
2008-03-01,395.8
2008-04-01,390.4
2008-05-01,428.0
2008-06-01,410.0
2008-07-01,374.1
2008-08-01,383.3
2008-09-01,370.5
2008-10-01,321.2
2008-11-01,283.5
2008-12-01,295.4
2009-01-01,241.7
2009-02-01,230.7
2009-03-01,252.9
2009-04-01,251.7
2009-05-01,267.9
2009-06-01,279.3
2009-07-01,345.7
2009-08-01,452.5
2009-09-01,276.7
2009-10-01,303.7
2009-11-01,316.5
2009-12-01,339.1
2010-01-01,301.9
2010-02-01,286.7
2010-03-01,329.0
2010-04-01,318.0
2010-05-01,329.2
2010-06-01,316.7
2010-07-01,320.8
2010-08-01,314.7
2010-09-01,316.9
2010-10-01,313.0
2010-11-01,313.0
2010-12-01,331.6
2011-01-01,326.066
2011-02-01,354.456
2011-03-01,370.821
2011-04-01,365.638
2011-05-01,325.094
2011-06-01,317.059
2011-07-01,326.515
2011-08-01,329.266
2011-09-01,344.445
2011-10-01,367.63
2011-11-01,361.391
2011-12-01,357.809
2012-01-01,410.436
2012-02-01,443.872
2012-03-01,430.812
2012-04-01,426.893
2012-05-01,415.506
2012-06-01,408.921
2012-07-01,408.499
2012-08-01,420.225
2012-09-01,434.925
2012-10-01,426.174
2012-11-01,444.474
2012-12-01,449.738
2013-01-01,473.658
2013-02-01,465.454
2013-03-01,456.332
2013-04-01,454.593
2013-05-01,447.546
2013-06-01,459.482
2013-07-01,455.289
2013-08-01,443.766
2013-09-01,450.453
2013-10-01,440.858
2013-11-01,448.007
2013-12-01,437.719
2014-01-01,427.723
2014-02-01,428.759
2014-03-01,457.614
2014-04-01,451.122
2014-05-01,466.744
2014-06-01,495.752
2014-07-01,477.747
2014-08-01,496.443
2014-09-01,470.846
2014-10-01,476.463
2014-11-01,477.662
2014-12-01,483.003
2015-01-01,456.397
2015-02-01,440.863
2015-03-01,469.409
2015-04-01,463.69
2015-05-01,482.954
2015-06-01,473.566
2015-07-01,485.348
2015-08-01,481.055
2015-09-01,467.943
2015-10-01,468.39
2015-11-01,459.188
2015-12-01,446.319
2016-01-01,455.21
2016-02-01,449.395
2016-03-01,426.059
2016-04-01,421.26
2016-05-01,426.932
2016-06-01,424.178
2016-07-01,430.698
2016-08-01,425.276
2016-09-01,436.481
2016-10-01,409.31
2016-11-01,415.296
2016-12-01,425.48
2017-01-01,387.846
2017-02-01,389.975
2017-03-01,383.376
2017-04-01,398.697
2017-05-01,387.275
2017-06-01,373.438
2017-07-01,377.52
2017-08-01,374.805
2017-09-01,404.455
2017-10-01,385.331
2017-11-01,374.941
2017-12-01,355.306
2018-01-01,347.758
2018-02-01,350.286
2018-03-01,342.452
2018-04-01,342.774
2018-05-01,343.075
2018-06-01,335.19
2018-07-01,335.41
2018-08-01,325.84
2018-09-01,334.583
2018-10-01,357.029
2018-11-01,336.349
2018-12-01,336.144
2019-01-01,341.184
2019-02-01,304.326
2019-03-01,316.364
2019-04-01,301.35
2019-05-01,298.543
2019-06-01,296.684
2019-07-01,283.862
2019-08-01,280.333
2019-09-01,293.5
2019-10-01,266.058
2019-11-01,282.791
2019-12-01,291.98
