DATE,FLTRUCKSSAAR
1976-01-01,0.182
1976-02-01,0.182
1976-03-01,0.181
1976-04-01,0.203
1976-05-01,0.208
1976-06-01,0.239
1976-07-01,0.253
1976-08-01,0.289
1976-09-01,0.279
1976-10-01,0.296
1976-11-01,0.278
1976-12-01,0.276
1977-01-01,0.313
1977-02-01,0.338
1977-03-01,0.260
1977-04-01,0.345
1977-05-01,0.363
1977-06-01,0.334
1977-07-01,0.340
1977-08-01,0.336
1977-09-01,0.333
1977-10-01,0.313
1977-11-01,0.303
1977-12-01,0.304
1978-01-01,0.281
1978-02-01,0.282
1978-03-01,0.313
1978-04-01,0.297
1978-05-01,0.300
1978-06-01,0.317
1978-07-01,0.313
1978-08-01,0.324
1978-09-01,0.366
1978-10-01,0.431
1978-11-01,0.425
1978-12-01,0.434
1979-01-01,0.357
1979-02-01,0.416
1979-03-01,0.472
1979-04-01,0.579
1979-05-01,0.533
1979-06-01,0.488
1979-07-01,0.477
1979-08-01,0.421
1979-09-01,0.399
1979-10-01,0.443
1979-11-01,0.513
1979-12-01,0.531
1980-01-01,0.602
1980-02-01,0.561
1980-03-01,0.485
1980-04-01,0.475
1980-05-01,0.413
1980-06-01,0.465
1980-07-01,0.515
1980-08-01,0.522
1980-09-01,0.488
1980-10-01,0.464
1980-11-01,0.403
1980-12-01,0.367
1981-01-01,0.418
1981-02-01,0.466
1981-03-01,0.463
1981-04-01,0.501
1981-05-01,0.437
1981-06-01,0.473
1981-07-01,0.429
1981-08-01,0.466
1981-09-01,0.452
1981-10-01,0.396
1981-11-01,0.424
1981-12-01,0.405
1982-01-01,0.401
1982-02-01,0.379
1982-03-01,0.418
1982-04-01,0.338
1982-05-01,0.373
1982-06-01,0.354
1982-07-01,0.391
1982-08-01,0.365
1982-09-01,0.408
1982-10-01,0.543
1982-11-01,0.524
1982-12-01,0.463
1983-01-01,0.448
1983-02-01,0.319
1983-03-01,0.400
1983-04-01,0.413
1983-05-01,0.444
1983-06-01,0.503
1983-07-01,0.515
1983-08-01,0.542
1983-09-01,0.539
1983-10-01,0.427
1983-11-01,0.458
1983-12-01,0.521
1984-01-01,0.518
1984-02-01,0.571
1984-03-01,0.580
1984-04-01,0.565
1984-05-01,0.631
1984-06-01,0.652
1984-07-01,0.555
1984-08-01,0.637
1984-09-01,0.513
1984-10-01,0.671
1984-11-01,0.685
1984-12-01,0.725
1985-01-01,0.849
1985-02-01,0.806
1985-03-01,0.736
1985-04-01,0.867
1985-05-01,0.853
1985-06-01,0.785
1985-07-01,1.102
1985-08-01,0.645
1985-09-01,0.794
1985-10-01,0.832
1985-11-01,0.820
1985-12-01,0.881
1986-01-01,0.845
1986-02-01,0.915
1986-03-01,0.949
1986-04-01,0.975
1986-05-01,0.931
1986-06-01,0.864
1986-07-01,1.169
1986-08-01,0.733
1986-09-01,1.043
1986-10-01,0.942
1986-11-01,1.093
1986-12-01,1.168
1987-01-01,0.777
1987-02-01,0.936
1987-03-01,0.951
1987-04-01,1.051
1987-05-01,0.940
1987-06-01,1.036
1987-07-01,0.959
1987-08-01,0.912
1987-09-01,0.889
1987-10-01,0.877
1987-11-01,0.770
1987-12-01,0.787
1988-01-01,0.795
1988-02-01,0.751
1988-03-01,0.763
1988-04-01,0.684
1988-05-01,0.714
1988-06-01,0.673
1988-07-01,0.701
1988-08-01,0.670
1988-09-01,0.658
1988-10-01,0.636
1988-11-01,0.656
1988-12-01,0.662
1989-01-01,0.637
1989-02-01,0.638
1989-03-01,0.613
1989-04-01,0.635
1989-05-01,0.616
1989-06-01,0.632
1989-07-01,0.589
1989-08-01,0.674
1989-09-01,0.625
1989-10-01,0.642
1989-11-01,0.639
1989-12-01,0.606
1990-01-01,0.636
1990-02-01,0.598
1990-03-01,0.634
1990-04-01,0.593
1990-05-01,0.691
1990-06-01,0.697
1990-07-01,0.543
1990-08-01,0.586
1990-09-01,0.525
1990-10-01,0.588
1990-11-01,0.583
1990-12-01,0.555
1991-01-01,0.529
1991-02-01,0.545
1991-03-01,0.526
1991-04-01,0.539
1991-05-01,0.557
1991-06-01,0.543
1991-07-01,0.564
1991-08-01,0.554
1991-09-01,0.511
1991-10-01,0.515
1991-11-01,0.472
1991-12-01,0.476
1992-01-01,0.441
1992-02-01,0.431
1992-03-01,0.439
1992-04-01,0.426
1992-05-01,0.395
1992-06-01,0.398
1992-07-01,0.384
1992-08-01,0.321
1992-09-01,0.381
1992-10-01,0.375
1992-11-01,0.377
1992-12-01,0.410
1993-01-01,0.376
1993-02-01,0.403
1993-03-01,0.366
1993-04-01,0.386
1993-05-01,0.357
1993-06-01,0.353
1993-07-01,0.395
1993-08-01,0.354
1993-09-01,0.375
1993-10-01,0.335
1993-11-01,0.356
1993-12-01,0.321
1994-01-01,0.372
1994-02-01,0.349
1994-03-01,0.327
1994-04-01,0.366
1994-05-01,0.359
1994-06-01,0.401
1994-07-01,0.385
1994-08-01,0.422
1994-09-01,0.443
1994-10-01,0.467
1994-11-01,0.431
1994-12-01,0.419
1995-01-01,0.454
1995-02-01,0.427
1995-03-01,0.395
1995-04-01,0.388
1995-05-01,0.391
1995-06-01,0.383
1995-07-01,0.351
1995-08-01,0.378
1995-09-01,0.439
1995-10-01,0.386
1995-11-01,0.407
1995-12-01,0.427
1996-01-01,0.342
1996-02-01,0.382
1996-03-01,0.458
1996-04-01,0.437
1996-05-01,0.447
1996-06-01,0.468
1996-07-01,0.415
1996-08-01,0.455
1996-09-01,0.405
1996-10-01,0.447
1996-11-01,0.524
1996-12-01,0.484
1997-01-01,0.490
1997-02-01,0.520
1997-03-01,0.661
1997-04-01,0.560
1997-05-01,0.598
1997-06-01,0.570
1997-07-01,0.605
1997-08-01,0.632
1997-09-01,0.593
1997-10-01,0.580
1997-11-01,0.559
1997-12-01,0.584
1998-01-01,0.504
1998-02-01,0.599
1998-03-01,0.592
1998-04-01,0.616
1998-05-01,0.630
1998-06-01,0.640
1998-07-01,0.676
1998-08-01,0.691
1998-09-01,0.725
1998-10-01,0.753
1998-11-01,0.690
1998-12-01,0.755
1999-01-01,0.736
1999-02-01,0.774
1999-03-01,0.738
1999-04-01,0.710
1999-05-01,0.773
1999-06-01,0.705
1999-07-01,0.762
1999-08-01,0.749
1999-09-01,0.787
1999-10-01,0.830
1999-11-01,0.860
1999-12-01,0.879
2000-01-01,0.847
2000-02-01,0.870
2000-03-01,0.814
2000-04-01,0.859
2000-05-01,0.864
2000-06-01,0.861
2000-07-01,0.867
2000-08-01,0.802
2000-09-01,0.864
2000-10-01,0.862
2000-11-01,0.870
2000-12-01,0.847
2001-01-01,0.905
2001-02-01,0.922
2001-03-01,0.890
2001-04-01,0.974
2001-05-01,0.926
2001-06-01,0.975
2001-07-01,0.961
2001-08-01,0.965
2001-09-01,0.944
2001-10-01,1.217
2001-11-01,1.049
2001-12-01,1.047
2002-01-01,1.097
2002-02-01,1.043
2002-03-01,1.071
2002-04-01,1.070
2002-05-01,0.973
2002-06-01,1.073
2002-07-01,1.133
2002-08-01,1.047
2002-09-01,1.041
2002-10-01,1.013
2002-11-01,1.090
2002-12-01,1.146
2003-01-01,1.126
2003-02-01,1.135
2003-03-01,1.295
2003-04-01,1.246
2003-05-01,1.209
2003-06-01,1.267
2003-07-01,1.265
2003-08-01,1.313
2003-09-01,1.288
2003-10-01,1.188
2003-11-01,1.219
2003-12-01,1.175
2004-01-01,1.205
2004-02-01,1.216
2004-03-01,1.245
2004-04-01,1.163
2004-05-01,1.258
2004-06-01,1.231
2004-07-01,1.269
2004-08-01,1.223
2004-09-01,1.258
2004-10-01,1.293
2004-11-01,1.255
2004-12-01,1.339
2005-01-01,1.186
2005-02-01,1.238
2005-03-01,1.198
2005-04-01,1.253
2005-05-01,1.253
2005-06-01,1.279
2005-07-01,1.343
2005-08-01,1.235
2005-09-01,1.119
2005-10-01,1.118
2005-11-01,1.154
2005-12-01,1.208
2006-01-01,1.281
2006-02-01,1.314
2006-03-01,1.319
2006-04-01,1.404
2006-05-01,1.331
2006-06-01,1.277
2006-07-01,1.344
2006-08-01,1.222
2006-09-01,1.345
2006-10-01,1.483
2006-11-01,1.422
2006-12-01,1.419
2007-01-01,1.428
2007-02-01,1.388
2007-03-01,1.376
2007-04-01,1.375
2007-05-01,1.353
2007-06-01,1.406
2007-07-01,1.366
2007-08-01,1.327
2007-09-01,1.420
2007-10-01,1.456
2007-11-01,1.398
2007-12-01,1.363
2008-01-01,1.316
2008-02-01,1.298
2008-03-01,1.265
2008-04-01,1.241
2008-05-01,1.177
2008-06-01,1.056
2008-07-01,0.996
2008-08-01,1.006
2008-09-01,1.046
2008-10-01,0.923
2008-11-01,0.913
2008-12-01,0.921
2009-01-01,0.986
2009-02-01,0.995
2009-03-01,0.928
2009-04-01,0.786
2009-05-01,0.864
2009-06-01,0.799
2009-07-01,0.896
2009-08-01,1.191
2009-09-01,0.745
2009-10-01,0.771
2009-11-01,0.811
2009-12-01,0.838
2010-01-01,0.790
2010-02-01,0.759
2010-03-01,0.956
2010-04-01,0.842
2010-05-01,0.840
2010-06-01,0.835
2010-07-01,0.900
2010-08-01,0.952
2010-09-01,0.933
2010-10-01,0.974
2010-11-01,1.004
2010-12-01,0.998
2011-01-01,1.020
2011-02-01,1.058
2011-03-01,1.045
2011-04-01,0.983
2011-05-01,0.874
2011-06-01,0.860
2011-07-01,0.916
2011-08-01,0.967
2011-09-01,1.048
2011-10-01,1.011
2011-11-01,0.985
2011-12-01,1.023
2012-01-01,1.069
2012-02-01,1.048
2012-03-01,1.050
2012-04-01,1.082
2012-05-01,1.084
2012-06-01,1.056
2012-07-01,1.048
2012-08-01,0.982
2012-09-01,1.076
2012-10-01,0.990
2012-11-01,1.116
2012-12-01,1.128
2013-01-01,1.127
2013-02-01,1.167
2013-03-01,1.174
2013-04-01,1.173
2013-05-01,1.242
2013-06-01,1.266
2013-07-01,1.295
2013-08-01,1.242
2013-09-01,1.262
2013-10-01,1.306
2013-11-01,1.306
2013-12-01,1.310
2014-01-01,1.236
2014-02-01,1.342
2014-03-01,1.455
2014-04-01,1.346
2014-05-01,1.335
2014-06-01,1.376
2014-07-01,1.389
2014-08-01,1.427
2014-09-01,1.435
2014-10-01,1.343
2014-11-01,1.316
2014-12-01,1.319
2015-01-01,1.384
2015-02-01,1.492
2015-03-01,1.657
2015-04-01,1.703
2015-05-01,1.7
2015-06-01,1.778
2015-07-01,1.83
2015-08-01,1.897
2015-09-01,1.832
2015-10-01,2.027
2015-11-01,2.057
2015-12-01,2.027
2016-01-01,1.97
2016-02-01,1.974
2016-03-01,1.95
2016-04-01,2.075
2016-05-01,2.292
2016-06-01,2.205
2016-07-01,2.248
2016-08-01,2.228
2016-09-01,2.18
2016-10-01,2.124
2016-11-01,2.236
2016-12-01,2.389
2017-01-01,2.352
2017-02-01,2.301
2017-03-01,2.247
2017-04-01,2.307
2017-05-01,2.403
2017-06-01,2.38
2017-07-01,2.356
2017-08-01,2.319
2017-09-01,2.563
2017-10-01,2.51
2017-11-01,2.535
2017-12-01,2.57
2018-01-01,2.678
2018-02-01,2.755
2018-03-01,2.785
2018-04-01,2.831
2018-05-01,2.837
2018-06-01,2.813
2018-07-01,2.663
2018-08-01,2.6
2018-09-01,2.77
2018-10-01,2.72
2018-11-01,2.775
2018-12-01,2.785
2019-01-01,2.624
2019-02-01,2.72
2019-03-01,2.668
2019-04-01,2.44
2019-05-01,2.594
2019-06-01,2.453
2019-07-01,2.503
2019-08-01,2.642
2019-09-01,2.641
2019-10-01,2.699
2019-11-01,2.689
2019-12-01,2.662
